primary_key,symbol,date,sentiment_score,stock_rec,total_rec
Merck_2023-09-22,MRK,2023-09-22,positive,Buy,Strong Buy
Merck_2023-09-25,MRK,2023-09-25,neutral,Buy,Buy
Merck_2023-09-26,MRK,2023-09-26,positive,Sell,Hold
Merck_2023-09-27,MRK,2023-09-27,neutral,Buy,Buy
Merck_2023-09-28,MRK,2023-09-28,neutral,Sell,Sell
Merck_2023-09-29,MRK,2023-09-29,positive,Buy,Strong Buy
Microsoft_2023-09-01,MSFT,2023-09-01,positive,Sell,Hold
Microsoft_2023-09-05,MSFT,2023-09-05,positive,Buy,Strong Buy
Microsoft_2023-09-06,MSFT,2023-09-06,positive,Sell,Hold
Microsoft_2023-09-07,MSFT,2023-09-07,positive,Sell,Hold
Microsoft_2023-09-08,MSFT,2023-09-08,positive,Sell,Hold
Microsoft_2023-09-11,MSFT,2023-09-11,positive,Buy,Strong Buy
Microsoft_2023-09-12,MSFT,2023-09-12,positive,Sell,Hold
Microsoft_2023-09-13,MSFT,2023-09-13,positive,Sell,Hold
Microsoft_2023-09-14,MSFT,2023-09-14,positive,Sell,Hold
