content:SentimentScore,,,
sentiment_score_company,sentiment_score_date,sentiment_score_score,sentiment_score_recommendation
3M,10/13/2022,-0.071428571,Sell
3M,10/14/2022,0.097560976,Buy
3M,10/15/2022,-0.097826087,Sell
3M,10/16/2022,-0.068965517,Sell
3M,10/17/2022,-0.021052632,Hold
3M,10/18/2022,-0.106796117,Sell
3M,10/19/2022,0.009433962,Hold
3M,10/20/2022,0.042105263,Hold
3M,10/21/2022,0.15625,Strong Buy
3M,10/22/2022,-0.096385542,Sell
3M,10/23/2022,-0.130434783,Sell
3M,10/24/2022,-0.144444444,Sell
3M,10/25/2022,0.011764706,Hold
3M,10/26/2022,0.04,Hold
3M,10/27/2022,0.2,Strong Buy
3M,10/28/2022,0.126213592,Buy
3M,10/29/2022,-0.057692308,Sell
3M,10/30/2022,0.082352941,Buy
3M,10/31/2022,0.044444444,Hold
3M,11/1/2022,0.010416667,Hold
3M,11/2/2022,0,Hold
3M,11/3/2022,-0.047058824,Hold
3M,11/4/2022,-0.078947368,Sell
3M,11/5/2022,0.068965517,Buy
3M,11/6/2022,-0.091836735,Sell
3M,11/7/2022,0.1,Buy
3M,11/8/2022,0.02247191,Hold
3M,11/9/2022,-0.037037037,Hold
3M,11/10/2022,-0.069767442,Sell
3M,11/11/2022,0.095744681,Buy
3M,11/12/2022,0,Hold
3M,11/13/2022,-0.060606061,Sell
3M,11/14/2022,-0.077777778,Sell
3M,11/15/2022,0.034482759,Hold
3M,11/16/2022,0.043859649,Hold
3M,11/17/2022,0.050505051,Buy
3M,11/18/2022,-0.078651685,Sell
3M,11/19/2022,0.043956044,Hold
3M,11/20/2022,0.073684211,Buy
3M,11/21/2022,-0.035294118,Hold
3M,11/22/2022,0.048780488,Hold
3M,11/23/2022,-0.108910891,Sell
3M,11/24/2022,-0.011904762,Hold
3M,11/25/2022,-0.02020202,Hold
3M,11/26/2022,0.213483146,Strong Buy
3M,11/27/2022,0.04,Hold
3M,11/28/2022,-0.152777778,Strong Sell
3M,11/29/2022,-0.053191489,Sell
3M,11/30/2022,-0.114583333,Sell
3M,12/1/2022,0.008547009,Hold
3M,12/2/2022,0.139240506,Buy
3M,12/3/2022,-0.011764706,Hold
3M,12/4/2022,-0.044247788,Hold
3M,12/5/2022,0,Hold
3M,12/6/2022,0.024390244,Hold
3M,12/7/2022,-0.078651685,Sell
3M,12/8/2022,-0.065217391,Sell
3M,12/9/2022,-0.112359551,Sell
3M,12/10/2022,-0.150684932,Strong Sell
3M,12/11/2022,-0.293478261,Strong Sell
3M,12/12/2022,0,Hold
3M,12/13/2022,-0.08,Sell
3M,12/14/2022,-0.142857143,Sell
3M,12/15/2022,0,Hold
3M,12/16/2022,-0.15,Sell
3M,12/17/2022,0.028301887,Hold
3M,12/18/2022,0.03125,Hold
3M,12/19/2022,-0.070707071,Sell
3M,12/20/2022,0,Hold
3M,12/21/2022,-0.086021505,Sell
3M,12/22/2022,0.02173913,Hold
3M,12/23/2022,-0.069767442,Sell
3M,12/24/2022,-0.08045977,Sell
3M,12/25/2022,0.105263158,Buy
3M,12/26/2022,0.058823529,Buy
3M,12/27/2022,-0.074468085,Sell
3M,12/28/2022,0.111111111,Buy
3M,12/29/2022,-0.012658228,Hold
3M,12/30/2022,0.180722892,Strong Buy
3M,12/31/2022,-0.137254902,Sell
Amgen,1/1/2022,-0.052631579,Sell
Amgen,1/2/2022,0.025974026,Hold
Amgen,1/3/2022,-0.071428571,Sell
Amgen,1/4/2022,0.106382979,Buy
Amgen,1/5/2022,-0.130841121,Sell
Amgen,1/6/2022,-0.097222222,Sell
Amgen,1/7/2022,-0.035294118,Hold
Amgen,1/8/2022,-0.009009009,Hold
Amgen,1/9/2022,0.012048193,Hold
Amgen,1/10/2022,0.0375,Hold
Amgen,1/11/2022,0.010989011,Hold
Amgen,1/12/2022,0.037037037,Hold
Amgen,1/13/2022,0.032258065,Hold
Amgen,1/14/2022,0.024691358,Hold
Amgen,1/15/2022,0.055555556,Buy
Amgen,1/16/2022,0.135416667,Buy
Amgen,1/17/2022,-0.065934066,Sell
Amgen,1/18/2022,-0.045977011,Hold
Amgen,1/19/2022,-0.085106383,Sell
Amgen,1/20/2022,-0.060606061,Sell
Amgen,1/21/2022,-0.07,Sell
Amgen,1/22/2022,0.029126214,Hold
Amgen,1/23/2022,0.094736842,Buy
Amgen,1/24/2022,0.111111111,Buy
Amgen,1/25/2022,-0.018181818,Hold
Amgen,1/26/2022,-0.105263158,Sell
Amgen,1/27/2022,-0.030927835,Hold
Amgen,1/28/2022,-0.0625,Sell
Amgen,1/29/2022,-0.172839506,Strong Sell
Amgen,1/30/2022,-0.065420561,Sell
Amgen,1/31/2022,0.023255814,Hold
Amgen,2/1/2022,0,Hold
Amgen,2/2/2022,-0.021505376,Hold
Amgen,2/3/2022,0.097560976,Buy
Amgen,2/4/2022,0.141414141,Buy
Amgen,2/5/2022,-0.13,Sell
Amgen,2/6/2022,-0.06741573,Sell
Amgen,2/7/2022,-0.073684211,Sell
Amgen,2/8/2022,0.008849558,Hold
Amgen,2/9/2022,0,Hold
Amgen,2/10/2022,0.022222222,Hold
Amgen,2/11/2022,-0.018691589,Hold
Amgen,2/12/2022,0.02020202,Hold
Amgen,2/13/2022,0.031914894,Hold
Amgen,2/14/2022,-0.032608696,Hold
Amgen,2/15/2022,0.010526316,Hold
Amgen,2/16/2022,0.033333333,Hold
Amgen,2/17/2022,-0.10989011,Sell
Amgen,2/18/2022,0,Hold
Amgen,2/19/2022,-0.097560976,Sell
Amgen,2/20/2022,-0.134020619,Sell
Amgen,2/21/2022,-0.011494253,Hold
Amgen,2/22/2022,-0.056179775,Sell
Amgen,2/23/2022,0.038834951,Hold
Amgen,2/24/2022,0.091836735,Buy
Amgen,2/25/2022,0.106796117,Buy
Amgen,2/26/2022,0.133333333,Buy
Amgen,2/27/2022,0.023529412,Hold
Amgen,2/28/2022,-0.15625,Strong Sell
Amgen,3/1/2022,-0.127659574,Sell
Amgen,3/2/2022,-0.073170732,Sell
Amgen,3/3/2022,0.01010101,Hold
Amgen,3/4/2022,0.103092784,Buy
Amgen,3/5/2022,-0.04494382,Hold
Amgen,3/6/2022,0.021505376,Hold
Amgen,3/7/2022,-0.047619048,Hold
Amgen,3/8/2022,0.011764706,Hold
Amgen,3/9/2022,-0.16,Strong Sell
Amgen,3/10/2022,-0.019607843,Hold
Amgen,3/11/2022,-0.020618557,Hold
Amgen,3/12/2022,-0.023809524,Hold
Amgen,3/13/2022,0.036036036,Hold
Amgen,3/14/2022,0.126582278,Buy
Amgen,3/15/2022,-0.10989011,Sell
Amgen,3/16/2022,0.112359551,Buy
Amgen,3/17/2022,-0.0625,Sell
Amgen,3/18/2022,-0.101123596,Sell
Amgen,3/19/2022,0.209302326,Strong Buy
Amgen,3/20/2022,-0.023529412,Hold
Amgen,3/21/2022,0.045454545,Hold
Amgen,3/22/2022,-0.172413793,Strong Sell
Amgen,3/23/2022,-0.048543689,Hold
Amgen,3/24/2022,0.131868132,Buy
Amgen,3/25/2022,0.034883721,Hold
Amgen,3/26/2022,0.090909091,Buy
Amgen,3/27/2022,-0.069444444,Sell
Amgen,3/28/2022,-0.042105263,Hold
Amgen,3/29/2022,0.073684211,Buy
Amgen,3/30/2022,-0.100917431,Sell
Amgen,3/31/2022,0,Hold
